City,Number_crimes
EastBrookfield,4
EastBrunswickTownship,27
EastChicago,201
EastCleveland,97
EastDubuque,6
EastDundee,2
EastFranklinTownship,0
EastGrandForks,11
EastGrandRapids,4
EastGreenbushTown,10
EastGreenville,0
EastGreenwich,5
EastGreenwichTownship,0
EastHampton,3
EastHanoverTownship,3
EastHartford,76
EastHaven,36
EastHazelCrest,2
EastHelena,11
EastJordan,4
EastKingston,1
EastLansing,88
EastLiverpool,13
EastLongmeadow,24
EastLyme,8
EastLynne,0
EastMillinocket,0
EastNewark,1
EastOrange,275
EastPalestine,8
EastPaloAlto,144
EastPeoria,70
EastProvidence,62
EastRange,8
EastRidge,91
EastRochesterVillage,6
EastRutherford,4
EastSpencer,7
EastStLouis,268
EastTaylorTownship,2
EastTroy,7
EastWenatchee,8
EastWindsor,14
EastWindsorTownship,16
EastamptonTownship,3
EastchesterTown,3
Eastham,5
Easthampton,37
Eastlake,12
Eastland,8
Easton,92
Eastpointe,223
Eastport,3
Eastvale,83
Eaton,9
EatonRapids,31
Eatonton,15
Eatontown,34
Eatonville,58
EauClaire,191
Ecorse,117
Eddystone,21
Eddyville,0
Eden,88
EdenPrairie,52
EdenTown,2
EdenValley,0
Edenton,39
Edgar,1
EdgarSprings,0
Edgartown,20
Edgerton,1
Edgewater,35
EdgewaterParkTownship,16
Edgewood,51
Edgeworth,0
Edina,48
Edinburg,284
Edinburgh,29
Edison,3
EdisonTownship,84
EdistoBeach,1
Edmond,138
Edmonds,87
Edmonston,1
Edmonton,0
Edmundson,3
Edna,7
Edwards,21
Edwardsville,38
Effingham,70
EggHarborCity,21
EggHarborTownship,52
Ehrhardt,3
ElCajon,552
ElCampo,41
ElCentro,143
ElCerrito,152
ElDorado,256
ElDoradoSprings,19
ElMirage,84
ElMonte,304
ElPaso,2452
ElPortal,2
ElReno,42
ElSegundo,82
Elberton,27
Elburn,1
Elderton,0
Eldon,14
Eldorado,7
Eldridge,2
Electra,6
Elgin,237
Eliot,7
Elizabeth,931
ElizabethCity,89
ElizabethTownship,12
Elizabethton,81
Elizabethtown,66
ElkCity,13
ElkGrove,372
ElkGroveVillage,30
ElkMound,3
ElkPoint,4
ElkRapids,0
ElkRiver,15
ElkTownship,0
Elkhart,4
ElkhartLake,0
Elkhorn,12
ElkhornCity,0
Elkins,24
Elkland,3
Elko,69
ElkoNewMarket,1
Elkton,155
Ellendale,2
Ellensburg,45
EllenvilleVillage,9
Ellettsville,10
EllicottTown,13
Ellicottville,0
Ellijay,2
Ellinwood,2
Ellisville,14
Ellsworth,19
ElmGrove,4
Elmer,1
Elmhurst,35
